ID,Sale_Category,Product_Source_ID,Product_Associate_ID,Distance
174,Additive,36,94,93.55
175,Additive,33,45,30.28
176,Associative,47,84,24.94
177,Associative,13,29,4.53
178,Associative,40,53,28.28
179,Associative,89,29,69.66
180,Associative,68,23,43.18
181,Associative,42,57,52.17
182,Additive,19,50,91.81
183,Associative,82,21,12.35
184,Associative,94,43,8.05
185,Associative,19,10,85.34
186,Additive,58,76,77.71
187,Associative,23,30,27.11
188,Associative,54,51,33.1
189,Additive,80,33,31.72
190,Associative,65,18,65.13
191,Associative,12,78,7.06
192,Associative,24,22,49.45
193,Associative,34,64,14.25
194,Associative,53,21,82.15
195,Additive,8,1,38.69
196,Additive,18,15,53.23
197,Additive,57,36,3.9
198,Associative,5,47,6.77
199,Associative,26,54,67.83
200,Associative,30,86,76.91
201,Additive,54,32,71.29
202,Associative,13,58,73.96
203,Associative,83,46,11.36
204,Additive,29,54,69.65
205,Associative,3,33,18.99
206,Additive,90,39,10.7
207,Additive,58,23,75.96
208,Additive,76,43,89.05
209,Associative,2,55,71.95
210,Associative,75,2,80.75
211,Associative,28,66,99.12
212,Associative,82,38,14.34
213,Associative,77,29,96.55
214,Associative,86,67,60.52
215,Associative,76,71,81.51
216,Additive,2,36,65.37
217,Associative,7,29,57.43
218,Additive,26,37,70.66
219,Associative,90,100,32.71
220,Associative,88,87,92.5
221,Associative,76,45,12.41
222,Additive,16,16,32.49
223,Additive,23,31,4.09
224,Additive,40,34,27.86
225,Additive,60,50,22.6
226,Associative,73,65,5.91
227,Additive,32,82,49.69
228,Associative,15,62,47.39
229,Associative,13,43,8.7
230,Additive,5,56,26.92
231,Additive,75,15,95.38
232,Additive,74,48,11.96
233,Additive,52,49,31.2
234,Additive,77,81,4.55
235,Additive,41,44,15.74
236,Additive,53,10,70.24
237,Additive,50,20,37.3
238,Associative,15,70,45.76
239,Additive,7,8,16.54
240,Additive,40,45,68.53
241,Associative,28,34,75.4
242,Additive,32,96,18.93
243,Associative,99,51,5.45
244,Associative,15,4,9.01
245,Additive,100,39,66.05
246,Associative,85,84,14.42
247,Associative,70,24,49.9
248,Associative,65,88,16.11
249,Associative,4,55,17.84
250,Additive,11,26,1.43
251,Associative,26,25,32.76
252,Additive,61,36,9.89
253,Associative,37,71,40.0
254,Associative,23,74,60.18
255,Associative,93,58,37.39
256,Associative,85,12,70.8
257,Additive,91,1,74.4
258,Additive,40,50,69.96
259,Associative,77,25,93.73
260,Associative,23,80,24.49
261,Additive,16,5,19.76
262,Associative,94,83,61.36
263,Associative,61,68,59.89
264,Associative,68,6,51.5
265,Additive,80,26,1.43
266,Additive,31,55,55.97
267,Additive,53,39,93.35
268,Associative,25,9,34.12
269,Associative,44,45,96.79
270,Additive,12,14,36.32
271,Additive,90,55,14.85
272,Additive,97,9,40.44
273,Additive,92,15,49.97
274,Associative,9,37,63.32
275,Additive,12,50,50.98
276,Associative,69,84,54.14
277,Additive,54,72,3.38
278,Associative,54,96,26.11
279,Additive,28,21,31.76
280,Additive,56,57,98.72
281,Additive,99,19,30.26
282,Additive,69,93,89.76
283,Associative,98,58,31.17
284,Additive,98,95,10.51
285,Associative,77,6,25.51
286,Associative,58,4,28.01
287,Associative,78,43,97.85
288,Associative,75,93,67.75
289,Additive,42,42,93.24
290,Associative,38,3,83.66
291,Associative,68,1,58.28
292,Associative,53,55,67.86
293,Additive,33,15,62.86
294,Additive,71,47,66.96
295,Additive,56,85,27.21
296,Additive,72,46,41.4
297,Associative,51,58,59.67
298,Associative,74,95,4.56
299,Additive,43,71,48.8
300,Associative,15,81,86.11
301,Associative,38,83,49.74
302,Associative,15,39,55.68
303,Additive,5,3,20.99
304,Additive,93,30,79.64
305,Associative,83,35,36.53
306,Additive,54,57,95.7
307,Additive,51,29,99.38
308,Additive,10,50,91.68
309,Additive,12,62,9.4
310,Additive,4,52,33.99
311,Associative,95,14,94.57
312,Additive,18,35,80.65
313,Associative,80,28,91.21
314,Associative,36,58,57.68
315,Additive,25,30,48.56
316,Associative,87,90,11.54
317,Associative,76,7,84.11
318,Associative,98,39,74.77
319,Additive,36,95,6.83
320,Additive,67,69,21.73
321,Associative,9,35,56.17
322,Additive,61,52,68.76
323,Additive,53,14,14.63
324,Additive,18,63,25.24
325,Additive,43,36,20.12
326,Associative,35,91,22.78
327,Associative,63,24,92.15
328,Additive,98,40,71.87
329,Additive,78,29,73.97
330,Associative,4,53,79.61
331,Associative,93,22,36.3
332,Additive,41,72,76.95
333,Associative,45,15,97.86
334,Additive,50,69,70.14
335,Additive,79,64,42.26
336,Associative,28,4,71.92
337,Associative,42,75,90.18
338,Additive,80,18,13.75
339,Additive,76,42,27.26
340,Associative,69,30,92.01
341,Additive,98,15,94.68
342,Associative,1,70,48.93
343,Additive,39,55,38.08
344,Associative,96,53,29.0
345,Associative,90,16,50.38
346,Associative,17,73,93.52
347,Additive,91,34,15.83
348,Additive,88,27,42.56
349,Associative,35,13,91.25
350,Additive,46,100,35.56
351,Associative,42,27,77.04
352,Associative,39,73,39.54
353,Additive,90,69,80.69
354,Additive,49,86,98.12
355,Associative,62,31,39.39
356,Additive,38,3,84.66
357,Additive,23,30,98.85
358,Associative,22,21,98.4
359,Associative,4,99,43.94
360,Additive,49,6,49.09
361,Associative,59,92,31.04
362,Associative,73,32,32.09
363,Additive,68,42,49.75
364,Associative,71,62,20.85
365,Associative,87,89,71.4
366,Additive,2,32,54.09
367,Additive,49,99,89.91
368,Associative,88,86,81.25
369,Associative,95,88,32.92
370,Additive,31,39,51.07
371,Additive,40,64,75.3
372,Additive,48,30,20.13
373,Additive,51,63,4.13
374,Associative,43,96,85.38
375,Additive,98,31,14.62
376,Additive,55,87,89.05
377,Associative,88,40,91.45
378,Additive,49,33,46.61
379,Associative,90,63,80.87
380,Additive,80,25,36.96
381,Additive,57,36,85.97
382,Additive,77,24,82.64
383,Associative,15,95,8.77
384,Associative,27,58,58.68
385,Additive,68,39,64.36
386,Associative,80,46,1.08
387,Associative,64,77,98.01
388,Associative,94,10,41.25
389,Associative,30,87,52.22
390,Associative,36,82,20.29
391,Associative,67,32,61.48
392,Additive,86,97,81.25
393,Additive,86,36,59.0
394,Associative,49,28,79.02
395,Additive,76,16,73.38
396,Additive,55,16,24.53
397,Additive,85,18,44.15
398,Additive,56,8,15.71
399,Associative,68,80,5.15
400,Additive,95,75,7.24
401,Additive,44,70,94.31
402,Associative,31,1,98.47
403,Associative,58,62,10.4
404,Additive,87,76,34.18
405,Additive,53,38,12.33
406,Additive,84,92,83.59
407,Additive,79,45,50.13
408,Additive,23,58,62.5
409,Additive,28,81,54.45
410,Associative,16,1,71.32
411,Additive,37,32,32.59
412,Additive,21,8,14.61
413,Associative,79,40,2.74
414,Associative,17,56,45.12
415,Associative,37,63,90.88
416,Associative,77,88,31.22
417,Additive,19,74,20.4
418,Additive,30,74,92.68
419,Additive,45,36,11.44
420,Additive,18,89,6.13
421,Additive,78,57,88.06
422,Additive,62,74,70.39
423,Associative,36,83,42.78
424,Additive,100,45,75.48
425,Associative,84,79,74.4
426,Associative,52,80,4.97
427,Additive,19,2,67.95
428,Associative,44,93,64.45
429,Additive,7,68,96.41
430,Associative,44,50,96.7
431,Additive,68,29,38.4
432,Associative,34,95,59.39
433,Additive,66,81,14.99
434,Additive,69,10,7.58
435,Additive,55,27,43.85
436,Additive,10,15,69.3
437,Additive,96,60,57.21
438,Associative,42,31,43.54
439,Associative,41,21,81.99
440,Associative,77,60,79.65
441,Additive,69,58,73.46
442,Associative,10,41,8.63
443,Additive,10,46,79.85
444,Additive,91,45,92.02
445,Associative,60,26,6.88
446,Associative,51,51,40.77
447,Additive,21,36,98.85
448,Associative,8,52,60.32
449,Additive,65,81,51.84
450,Additive,92,51,18.57
451,Additive,78,3,56.98
452,Additive,85,14,44.47
453,Additive,30,49,13.62
454,Associative,85,77,46.97
455,Associative,49,91,17.28
456,Additive,9,1,73.34
457,Additive,17,57,97.39
458,Associative,69,17,47.49
459,Associative,58,50,63.6
460,Additive,57,98,43.67
461,Associative,62,14,14.71
462,Additive,95,59,97.08
463,Associative,52,81,13.83
464,Additive,61,3,12.05
465,Associative,40,98,46.46
466,Additive,38,40,66.23
467,Associative,43,89,36.14
468,Associative,63,66,20.06
469,Additive,19,34,82.08
470,Associative,100,90,36.95
471,Additive,50,95,20.24
472,Associative,33,9,37.14
473,Additive,13,94,22.24
474,Associative,78,84,52.43
475,Additive,97,21,67.16
476,Associative,62,93,80.16
477,Additive,93,25,23.53
478,Associative,43,44,17.53
479,Additive,49,25,2.94
480,Additive,36,9,23.58
481,Additive,10,62,3.37
482,Associative,95,26,35.2
483,Additive,6,57,15.42
484,Associative,57,37,58.41
485,Additive,1,16,38.99
486,Associative,71,37,10.26
487,Additive,58,76,40.59
488,Associative,91,24,21.73
489,Associative,21,26,68.34
490,Additive,92,20,37.08
491,Associative,80,9,15.56
492,Associative,56,87,35.61
493,Additive,87,29,23.21
494,Associative,20,31,79.78
495,Associative,54,19,98.35
496,Associative,25,20,3.52
497,Additive,28,87,69.31
498,Associative,5,27,27.13
499,Additive,21,94,7.57
500,Associative,18,85,2.42
501,Associative,47,44,88.22
502,Associative,70,35,36.01
503,Additive,57,71,99.46
504,Associative,93,22,44.8
505,Associative,19,74,19.57
506,Additive,97,87,77.94
507,Associative,65,15,92.72
508,Additive,3,94,81.75
509,Additive,42,98,74.77
510,Associative,21,13,34.14
511,Additive,99,4,7.38
512,Associative,40,82,20.93
513,Additive,67,56,45.23
514,Additive,25,23,95.66
515,Associative,55,97,72.56
516,Additive,84,98,83.0
517,Additive,52,34,28.45
518,Additive,44,100,68.7
519,Additive,98,99,86.38
520,Additive,85,17,48.46
521,Associative,56,28,43.56
522,Additive,55,14,72.22
523,Associative,87,34,56.43
524,Additive,70,75,99.32
525,Associative,77,57,43.09
526,Associative,87,77,18.42
527,Additive,73,97,47.72
528,Additive,81,55,24.29
529,Additive,66,66,56.56
530,Associative,19,98,13.45
531,Additive,83,93,95.05
532,Associative,7,37,86.12
533,Associative,63,68,16.4
534,Associative,42,76,18.07
535,Additive,42,26,51.73
536,Additive,59,61,77.52
537,Associative,20,92,22.69
538,Associative,73,67,7.04
539,Additive,17,84,55.01
540,Associative,27,74,69.47
541,Additive,47,52,25.19
542,Associative,2,18,74.24
543,Additive,63,53,95.11
544,Associative,62,63,14.57
545,Additive,100,53,51.59
546,Associative,19,27,6.63
547,Additive,17,31,21.46
548,Additive,69,91,9.89
549,Associative,39,1,41.0
550,Associative,82,6,82.26
551,Additive,71,11,58.14
552,Associative,81,34,23.04
553,Additive,39,84,4.97
554,Associative,36,63,55.79
555,Additive,40,53,14.15
556,Additive,45,85,34.93
557,Additive,4,85,51.51
558,Additive,25,18,90.47
559,Additive,69,21,9.1
560,Additive,30,19,67.19
561,Associative,76,4,2.39
562,Associative,68,77,63.36
563,Associative,88,82,55.6
564,Additive,29,29,81.37
565,Additive,73,25,53.63
566,Additive,68,56,35.91
567,Additive,51,77,25.03
568,Associative,24,63,9.44
569,Associative,14,27,53.93
570,Additive,69,60,88.94
571,Associative,18,83,51.96
572,Associative,42,49,74.17
573,Additive,57,65,30.55
574,Associative,83,38,45.36
575,Additive,12,83,33.14
576,Associative,82,52,11.82
577,Additive,17,1,42.28
578,Additive,30,40,76.66
579,Additive,88,81,40.1
580,Additive,75,21,65.37
581,Associative,99,86,76.1
582,Additive,23,15,32.95
583,Additive,81,50,79.95
584,Additive,1,48,34.55
585,Associative,79,32,26.35
586,Additive,32,49,23.02
587,Associative,9,68,20.79
588,Additive,15,45,73.98
589,Associative,28,32,88.86
590,Associative,24,4,23.83
591,Additive,60,65,9.44
592,Associative,35,97,32.06
593,Additive,86,71,66.13
594,Additive,27,73,37.48
595,Additive,83,65,55.37
596,Associative,76,80,74.69
597,Associative,20,18,41.44
598,Additive,65,54,99.97
599,Additive,85,47,30.5
600,Associative,49,6,97.85
601,Additive,1,66,21.1
602,Additive,10,9,11.98
603,Additive,47,68,75.33
604,Associative,59,23,70.53
605,Associative,96,43,81.31
606,Associative,62,51,35.02
607,Additive,86,72,93.15
608,Additive,18,25,12.83
609,Additive,46,80,4.0
610,Associative,32,35,30.76
611,Additive,27,17,79.94
612,Additive,92,18,67.63
613,Additive,18,27,44.18
614,Additive,39,15,26.37
615,Associative,49,81,6.87
616,Associative,93,69,34.41
617,Additive,82,80,46.54
618,Associative,44,15,69.02
619,Associative,72,42,64.95
620,Additive,54,34,94.79
621,Additive,95,48,10.94
622,Associative,34,83,34.3
623,Additive,71,8,48.68
624,Associative,36,10,67.4
625,Additive,18,5,50.05
626,Associative,38,48,91.36
627,Additive,59,26,61.26
628,Associative,9,86,4.93
629,Associative,73,23,12.25
630,Associative,72,62,75.6
631,Additive,51,13,71.86
632,Associative,35,9,16.2
633,Associative,82,20,6.83
634,Additive,5,92,58.29
635,Additive,14,57,63.94
636,Associative,92,24,14.39
637,Associative,30,33,47.89
638,Additive,4,20,31.28
639,Additive,39,60,93.2
640,Additive,84,48,22.7
641,Additive,64,64,73.59
642,Additive,25,30,52.3
643,Associative,28,73,2.14
644,Additive,76,17,52.18
645,Associative,66,100,10.85
646,Associative,78,14,66.25
647,Associative,22,19,56.99
648,Additive,31,71,2.03
649,Associative,23,59,21.26
650,Associative,48,67,77.85
651,Additive,20,97,28.3
652,Associative,38,44,50.43
653,Associative,55,32,31.89
654,Additive,68,11,92.23
655,Associative,79,2,54.12
656,Associative,88,90,69.92
657,Associative,89,68,9.26
658,Additive,1,17,4.99
659,Additive,7,81,26.66
660,Additive,57,92,31.6
661,Associative,95,94,69.08
662,Associative,12,40,57.34
663,Additive,5,87,38.08
664,Associative,50,46,65.76
665,Associative,42,88,17.19
666,Additive,12,93,7.29
667,Additive,18,4,85.6
668,Associative,66,38,56.83
669,Associative,74,63,65.26
670,Associative,79,29,31.42
671,Additive,94,19,37.82
672,Additive,17,91,9.15
673,Additive,68,29,85.84
674,Additive,71,100,59.65
675,Associative,62,35,9.28
676,Additive,41,70,80.65
677,Additive,95,23,44.97
678,Additive,34,46,76.75
679,Additive,70,44,2.25
680,Additive,45,48,3.85
681,Associative,58,52,17.91
682,Associative,51,8,21.88
683,Additive,34,55,76.63
684,Associative,44,66,70.96
685,Additive,15,77,61.99
686,Additive,78,40,88.6
687,Associative,70,85,25.47
688,Associative,50,31,90.54
689,Additive,32,48,91.04
690,Additive,67,100,43.99
691,Additive,3,61,10.34
692,Associative,86,52,72.93
693,Additive,86,38,34.36
694,Additive,74,91,79.7
695,Additive,51,36,17.21
696,Associative,67,87,54.41
697,Additive,76,55,51.3
698,Additive,93,85,10.93
699,Associative,48,13,36.97
700,Additive,17,37,9.39
701,Additive,7,47,47.01
702,Associative,13,90,84.45
703,Additive,66,71,27.75
704,Associative,4,22,76.72
705,Associative,10,39,19.16
706,Additive,88,87,67.7
707,Additive,17,58,91.64
708,Additive,52,30,33.07
709,Additive,6,18,90.14
710,Associative,83,18,51.04
711,Additive,69,74,32.36
712,Associative,96,39,89.75
713,Additive,74,94,4.17
714,Additive,9,26,3.77
715,Additive,91,71,60.38
716,Associative,77,7,79.88
717,Additive,83,69,75.4
718,Additive,21,65,8.87
719,Additive,24,46,95.07
720,Additive,4,18,70.6
721,Associative,24,13,94.96
722,Additive,59,25,33.58
723,Associative,99,8,69.7
724,Associative,3,74,86.13
725,Associative,68,32,38.67
726,Associative,40,17,96.52
727,Associative,48,79,27.23
728,Associative,54,79,32.25
729,Additive,35,48,92.11
730,Associative,95,63,97.0
731,Associative,56,40,29.23
732,Associative,89,84,14.5
733,Additive,40,15,76.15
734,Additive,77,99,93.04
735,Associative,68,6,60.47
736,Additive,46,94,63.82
737,Associative,78,63,76.53
738,Associative,13,8,16.16
739,Additive,27,95,97.37
740,Associative,6,32,37.07
741,Additive,17,45,63.2
742,Additive,36,52,47.39
743,Associative,99,79,47.35
744,Associative,81,82,70.57
745,Additive,2,13,99.47
746,Associative,77,24,66.25
747,Associative,52,40,79.61
748,Associative,66,14,3.73
749,Additive,52,92,81.23
750,Additive,92,75,30.7
751,Associative,43,70,13.54
752,Additive,90,62,12.22
753,Additive,22,89,68.31
754,Additive,55,61,99.76
755,Additive,67,1,66.95
756,Additive,99,89,26.97
757,Associative,60,66,21.13
758,Associative,58,32,53.07
759,Associative,12,13,7.44
760,Additive,88,33,40.53
761,Additive,69,32,66.96
762,Associative,84,56,96.8
763,Additive,39,24,43.14
764,Associative,13,91,20.82
765,Associative,41,4,81.92
766,Associative,57,88,74.68
767,Additive,53,23,86.11
768,Additive,12,29,22.26
769,Associative,13,98,41.08
770,Associative,74,21,98.17
771,Associative,97,30,16.65
772,Associative,57,90,67.47
773,Additive,40,20,24.48
774,Additive,80,16,50.52
775,Associative,45,67,80.25
776,Associative,35,49,49.37
777,Additive,3,58,80.74
778,Additive,5,44,43.21
779,Associative,90,25,99.94
780,Associative,11,23,44.15
781,Associative,71,59,15.79
782,Additive,56,1,40.79
783,Additive,10,97,74.52
784,Additive,34,15,84.95
785,Associative,67,81,46.55
786,Associative,72,98,59.85
787,Additive,31,81,84.64
788,Additive,75,52,81.54
789,Associative,71,58,66.11
790,Additive,66,41,81.69
791,Additive,70,44,58.02
792,Associative,41,4,1.46
793,Additive,63,77,5.09
794,Associative,32,68,98.0
795,Associative,20,7,15.35
796,Associative,57,46,41.05
797,Associative,98,9,93.45
798,Associative,50,87,20.31
799,Associative,80,33,84.54
800,Associative,25,33,82.01
801,Additive,12,84,98.65
802,Associative,71,4,28.89
803,Associative,39,65,32.22
804,Additive,17,34,90.38
805,Additive,45,91,24.17
806,Additive,11,85,55.24
807,Associative,70,88,71.03
808,Additive,23,79,27.92
809,Associative,91,99,93.9
810,Associative,70,64,66.9
811,Associative,38,25,5.67
812,Associative,2,55,14.44
813,Additive,86,9,19.89
814,Additive,84,17,25.25
815,Associative,89,21,73.34
816,Associative,79,60,9.8
817,Associative,93,13,35.71
818,Additive,72,3,91.23
819,Associative,37,68,56.11
820,Associative,49,4,27.28
821,Additive,52,92,95.75
822,Additive,33,7,25.19
823,Associative,22,26,90.6
824,Additive,5,75,72.85
825,Additive,18,24,74.31
826,Associative,38,10,76.73
827,Additive,37,13,51.15
828,Associative,94,44,81.64
829,Additive,95,39,83.78
830,Associative,64,19,36.69
831,Associative,10,51,40.63
832,Associative,79,19,88.99
833,Additive,42,76,52.95
834,Associative,48,52,86.83
835,Additive,44,86,63.05
836,Associative,82,47,59.76
837,Associative,87,30,4.07
838,Additive,97,46,28.51
839,Associative,16,76,50.7
840,Associative,54,93,59.14
841,Additive,35,21,63.41
842,Associative,98,75,71.91
843,Associative,28,48,65.97
844,Associative,2,62,85.01
845,Associative,94,58,30.25
846,Additive,13,18,64.52
847,Additive,41,59,6.06
848,Associative,80,91,48.54
849,Additive,59,48,27.54
850,Associative,69,63,38.71
851,Additive,92,12,36.11
852,Associative,53,87,6.98
853,Associative,45,34,47.2
854,Associative,20,61,99.47
855,Associative,24,87,30.59
856,Associative,61,53,73.88
857,Associative,91,25,55.23
858,Additive,94,62,33.2
859,Associative,58,4,9.87
860,Additive,27,94,22.37
861,Associative,26,94,78.4
862,Additive,7,13,28.62
863,Additive,42,42,15.29
864,Additive,47,49,33.8
865,Associative,53,78,58.82
866,Associative,59,56,70.64
867,Additive,38,47,39.35
868,Associative,69,8,50.32
869,Additive,87,55,46.04
870,Associative,92,88,1.89
871,Additive,98,18,40.16
872,Additive,53,35,59.14
873,Associative,15,89,57.42
874,Additive,96,81,75.23
875,Associative,26,32,67.37
876,Additive,48,24,28.4
877,Additive,95,7,26.31
878,Associative,19,13,46.95
879,Associative,9,91,73.56
880,Associative,64,69,10.29
881,Additive,93,100,94.88
882,Associative,54,90,54.77
883,Additive,51,42,31.33
884,Additive,39,31,69.65
885,Associative,4,74,5.43
886,Associative,3,26,48.96
887,Additive,64,86,49.11
888,Additive,29,76,17.04
889,Associative,11,32,83.9
890,Associative,97,91,79.88
891,Associative,58,97,16.12
892,Associative,75,52,37.02
893,Associative,27,20,10.94
894,Additive,97,40,85.01
895,Additive,21,59,33.01
896,Additive,39,77,44.49
897,Additive,95,14,33.06
898,Associative,46,44,31.69
899,Associative,66,86,74.98
900,Associative,91,82,75.01
901,Additive,36,48,52.26
902,Additive,75,93,66.1
903,Associative,82,43,51.65
904,Associative,65,16,3.83
905,Additive,63,35,7.53
906,Additive,99,53,38.99
907,Associative,35,34,75.22
908,Associative,31,3,91.41
909,Additive,28,68,3.94
910,Associative,1,5,37.43
911,Associative,25,10,23.15
912,Associative,43,52,81.71
913,Additive,84,29,84.75
914,Additive,67,96,21.43
915,Additive,63,31,71.37
916,Additive,51,66,73.44
917,Additive,2,76,18.53
918,Additive,82,91,43.94
919,Additive,64,69,62.41
920,Associative,74,37,3.58
921,Associative,69,27,41.05
922,Associative,9,87,16.34
923,Associative,2,33,54.65
924,Associative,34,68,84.45
925,Associative,60,59,52.95
926,Associative,61,64,4.56
927,Additive,31,85,3.94
928,Additive,10,88,60.94
929,Associative,76,44,33.47
930,Associative,36,95,57.69
931,Additive,85,88,17.2
932,Associative,49,49,77.91
933,Associative,70,53,86.21
934,Additive,49,74,89.03
935,Associative,3,49,31.1
936,Additive,74,66,66.41
937,Associative,5,95,28.63
938,Additive,90,63,76.51
939,Additive,61,25,12.93
940,Additive,85,4,76.51
941,Associative,90,51,44.53
942,Additive,26,11,85.7
943,Associative,72,17,74.15
944,Associative,5,66,38.28
945,Associative,15,70,90.45
946,Associative,16,73,29.05
947,Additive,1,69,96.73
948,Additive,16,84,76.95
949,Associative,37,29,99.08
950,Associative,3,85,6.34
951,Additive,52,73,28.13
952,Associative,47,92,74.39
953,Additive,95,72,92.3
954,Associative,13,95,3.85
955,Associative,80,20,1.0
956,Additive,55,27,26.37
957,Associative,21,8,85.43
958,Additive,66,85,76.95
959,Associative,54,61,34.69
960,Associative,27,28,1.2
961,Associative,38,87,55.92
962,Additive,90,70,24.56
963,Associative,58,3,74.82
964,Associative,62,69,45.19
965,Associative,46,73,68.18
966,Associative,89,7,85.38
967,Additive,11,60,54.04
968,Additive,72,4,34.26
969,Associative,8,5,77.18
970,Additive,97,11,27.25
971,Associative,71,15,89.26
972,Associative,64,64,8.07
973,Associative,21,98,83.71
974,Additive,72,13,10.06
975,Additive,63,7,6.56
976,Additive,85,6,36.96
977,Additive,64,56,95.7
978,Additive,20,64,98.37
979,Additive,8,50,21.0
980,Additive,58,30,15.72
981,Additive,46,22,35.94
982,Additive,31,25,34.37
983,Associative,93,28,76.2
984,Additive,9,84,44.96
985,Additive,15,39,78.21
986,Additive,94,67,75.12
987,Additive,26,5,58.25
988,Additive,10,65,83.52
989,Additive,29,15,20.37
990,Additive,80,90,17.02
991,Additive,36,67,75.31
992,Additive,84,40,25.23
993,Additive,37,98,1.28
994,Additive,86,69,91.28
