Id;Date;Year;Month;Year_Month_Number;Year_Month_Name;Day;Day_Name;Day_Name_Short;Month_Name;Month_Name_Short;Quarter;Quarter_Name;Year_Quarter_Number;Year_Quarter_Name;Week_Number;Day_of_Year;Singular_Day;Name_Singular_Day
72;3/13/2020;2020;3;202003;2020-Mar;13;Friday;Fri;March;Mar;1;Q1;2020Q;2020 Q1;11;73;NORMAL;NORMAL
73;3/14/2020;2020;3;202003;2020-Mar;14;Saturday;Sat;March;Mar;1;Q1;2020Q;2020 Q1;11;74;NORMAL;NORMAL
74;3/15/2020;2020;3;202003;2020-Mar;15;Sunday;Sun;March;Mar;1;Q1;2020Q;2020 Q1;11;75;NORMAL;NORMAL
75;3/16/2020;2020;3;202003;2020-Mar;16;Monday;Mon;March;Mar;1;Q1;2020Q;2020 Q1;12;76;NORMAL;NORMAL
76;3/17/2020;2020;3;202003;2020-Mar;17;Tuesday;Tue;March;Mar;1;Q1;2020Q;2020 Q1;12;77;NORMAL;NORMAL
77;3/18/2020;2020;3;202003;2020-Mar;18;Wednesday;Wed;March;Mar;1;Q1;2020Q;2020 Q1;12;78;NORMAL;NORMAL
78;3/19/2020;2020;3;202003;2020-Mar;19;Thursday;Thu;March;Mar;1;Q1;2020Q;2020 Q1;12;79;NORMAL;NORMAL
79;3/20/2020;2020;3;202003;2020-Mar;20;Friday;Fri;March;Mar;1;Q1;2020Q;2020 Q1;12;80;NORMAL;NORMAL
80;3/21/2020;2020;3;202003;2020-Mar;21;Saturday;Sat;March;Mar;1;Q1;2020Q;2020 Q1;12;81;NORMAL;NORMAL
81;3/22/2020;2020;3;202003;2020-Mar;22;Sunday;Sun;March;Mar;1;Q1;2020Q;2020 Q1;12;82;NORMAL;NORMAL
82;3/23/2020;2020;3;202003;2020-Mar;23;Monday;Mon;March;Mar;1;Q1;2020Q;2020 Q1;13;83;NORMAL;NORMAL
83;3/24/2020;2020;3;202003;2020-Mar;24;Tuesday;Tue;March;Mar;1;Q1;2020Q;2020 Q1;13;84;NORMAL;NORMAL
84;3/25/2020;2020;3;202003;2020-Mar;25;Wednesday;Wed;March;Mar;1;Q1;2020Q;2020 Q1;13;85;NORMAL;NORMAL
85;3/26/2020;2020;3;202003;2020-Mar;26;Thursday;Thu;March;Mar;1;Q1;2020Q;2020 Q1;13;86;NORMAL;NORMAL
86;3/27/2020;2020;3;202003;2020-Mar;27;Friday;Fri;March;Mar;1;Q1;2020Q;2020 Q1;13;87;NORMAL;NORMAL
87;3/28/2020;2020;3;202003;2020-Mar;28;Saturday;Sat;March;Mar;1;Q1;2020Q;2020 Q1;13;88;NORMAL;NORMAL
88;3/29/2020;2020;3;202003;2020-Mar;29;Sunday;Sun;March;Mar;1;Q1;2020Q;2020 Q1;13;89;NORMAL;NORMAL
89;3/30/2020;2020;3;202003;2020-Mar;30;Monday;Mon;March;Mar;1;Q1;2020Q;2020 Q1;14;90;NORMAL;NORMAL
90;3/31/2020;2020;3;202003;2020-Mar;31;Tuesday;Tue;March;Mar;1;Q1;2020Q;2020 Q1;14;91;NORMAL;NORMAL
91;4/1/2020;2020;4;202004;2020-Apr;1;Wednesday;Wed;April;Apr;2;Q2;2020Q;2020 Q2;14;92;NORMAL;NORMAL
92;4/2/2020;2020;4;202004;2020-Apr;2;Thursday;Thu;April;Apr;2;Q2;2020Q;2020 Q2;14;93;NORMAL;NORMAL
93;4/3/2020;2020;4;202004;2020-Apr;3;Friday;Fri;April;Apr;2;Q2;2020Q;2020 Q2;14;94;NORMAL;NORMAL
94;4/4/2020;2020;4;202004;2020-Apr;4;Saturday;Sat;April;Apr;2;Q2;2020Q;2020 Q2;14;95;NORMAL;NORMAL
95;4/5/2020;2020;4;202004;2020-Apr;5;Sunday;Sun;April;Apr;2;Q2;2020Q;2020 Q2;14;96;NORMAL;NORMAL
96;4/6/2020;2020;4;202004;2020-Apr;6;Monday;Mon;April;Apr;2;Q2;2020Q;2020 Q2;15;97;NORMAL;NORMAL
97;4/7/2020;2020;4;202004;2020-Apr;7;Tuesday;Tue;April;Apr;2;Q2;2020Q;2020 Q2;15;98;NORMAL;NORMAL
98;4/8/2020;2020;4;202004;2020-Apr;8;Wednesday;Wed;April;Apr;2;Q2;2020Q;2020 Q2;15;99;NORMAL;NORMAL
99;4/9/2020;2020;4;202004;2020-Apr;9;Thursday;Thu;April;Apr;2;Q2;2020Q;2020 Q2;15;100;NORMAL;NORMAL
100;4/10/2020;2020;4;202004;2020-Apr;10;Friday;Fri;April;Apr;2;Q2;2020Q;2020 Q2;15;101;NORMAL;NORMAL
101;4/11/2020;2020;4;202004;2020-Apr;11;Saturday;Sat;April;Apr;2;Q2;2020Q;2020 Q2;15;102;NORMAL;NORMAL
102;4/12/2020;2020;4;202004;2020-Apr;12;Sunday;Sun;April;Apr;2;Q2;2020Q;2020 Q2;15;103;NORMAL;NORMAL
103;4/13/2020;2020;4;202004;2020-Apr;13;Monday;Mon;April;Apr;2;Q2;2020Q;2020 Q2;16;104;NORMAL;NORMAL
104;4/14/2020;2020;4;202004;2020-Apr;14;Tuesday;Tue;April;Apr;2;Q2;2020Q;2020 Q2;16;105;NORMAL;NORMAL
105;4/15/2020;2020;4;202004;2020-Apr;15;Wednesday;Wed;April;Apr;2;Q2;2020Q;2020 Q2;16;106;NORMAL;NORMAL
106;4/16/2020;2020;4;202004;2020-Apr;16;Thursday;Thu;April;Apr;2;Q2;2020Q;2020 Q2;16;107;NORMAL;NORMAL
107;4/17/2020;2020;4;202004;2020-Apr;17;Friday;Fri;April;Apr;2;Q2;2020Q;2020 Q2;16;108;NORMAL;NORMAL
108;4/18/2020;2020;4;202004;2020-Apr;18;Saturday;Sat;April;Apr;2;Q2;2020Q;2020 Q2;16;109;NORMAL;NORMAL
109;4/19/2020;2020;4;202004;2020-Apr;19;Sunday;Sun;April;Apr;2;Q2;2020Q;2020 Q2;16;110;NORMAL;NORMAL
110;4/20/2020;2020;4;202004;2020-Apr;20;Monday;Mon;April;Apr;2;Q2;2020Q;2020 Q2;17;111;NORMAL;NORMAL
111;4/21/2020;2020;4;202004;2020-Apr;21;Tuesday;Tue;April;Apr;2;Q2;2020Q;2020 Q2;17;112;NORMAL;NORMAL
112;4/22/2020;2020;4;202004;2020-Apr;22;Wednesday;Wed;April;Apr;2;Q2;2020Q;2020 Q2;17;113;NORMAL;NORMAL
113;4/23/2020;2020;4;202004;2020-Apr;23;Thursday;Thu;April;Apr;2;Q2;2020Q;2020 Q2;17;114;NORMAL;NORMAL
114;4/24/2020;2020;4;202004;2020-Apr;24;Friday;Fri;April;Apr;2;Q2;2020Q;2020 Q2;17;115;NORMAL;NORMAL
115;4/25/2020;2020;4;202004;2020-Apr;25;Saturday;Sat;April;Apr;2;Q2;2020Q;2020 Q2;17;116;NORMAL;NORMAL
116;4/26/2020;2020;4;202004;2020-Apr;26;Sunday;Sun;April;Apr;2;Q2;2020Q;2020 Q2;17;117;NORMAL;NORMAL
117;4/27/2020;2020;4;202004;2020-Apr;27;Monday;Mon;April;Apr;2;Q2;2020Q;2020 Q2;18;118;NORMAL;NORMAL
118;4/28/2020;2020;4;202004;2020-Apr;28;Tuesday;Tue;April;Apr;2;Q2;2020Q;2020 Q2;18;119;NORMAL;NORMAL
119;4/29/2020;2020;4;202004;2020-Apr;29;Wednesday;Wed;April;Apr;2;Q2;2020Q;2020 Q2;18;120;NORMAL;NORMAL
120;4/30/2020;2020;4;202004;2020-Apr;30;Thursday;Thu;April;Apr;2;Q2;2020Q;2020 Q2;18;121;NORMAL;NORMAL
121;5/1/2020;2020;5;202005;2020-May;1;Friday;Fri;May;May;2;Q2;2020Q;2020 Q2;18;122;NORMAL;NORMAL
122;5/2/2020;2020;5;202005;2020-May;2;Saturday;Sat;May;May;2;Q2;2020Q;2020 Q2;18;123;NORMAL;NORMAL
123;5/3/2020;2020;5;202005;2020-May;3;Sunday;Sun;May;May;2;Q2;2020Q;2020 Q2;18;124;NORMAL;NORMAL
124;5/4/2020;2020;5;202005;2020-May;4;Monday;Mon;May;May;2;Q2;2020Q;2020 Q2;19;125;NORMAL;NORMAL
125;5/5/2020;2020;5;202005;2020-May;5;Tuesday;Tue;May;May;2;Q2;2020Q;2020 Q2;19;126;NORMAL;NORMAL
126;5/6/2020;2020;5;202005;2020-May;6;Wednesday;Wed;May;May;2;Q2;2020Q;2020 Q2;19;127;NORMAL;NORMAL
127;5/7/2020;2020;5;202005;2020-May;7;Thursday;Thu;May;May;2;Q2;2020Q;2020 Q2;19;128;NORMAL;NORMAL
128;5/8/2020;2020;5;202005;2020-May;8;Friday;Fri;May;May;2;Q2;2020Q;2020 Q2;19;129;NORMAL;NORMAL
129;5/9/2020;2020;5;202005;2020-May;9;Saturday;Sat;May;May;2;Q2;2020Q;2020 Q2;19;130;SINGULAR;Mother's Day
130;5/10/2020;2020;5;202005;2020-May;10;Sunday;Sun;May;May;2;Q2;2020Q;2020 Q2;19;131;NORMAL;NORMAL
131;5/11/2020;2020;5;202005;2020-May;11;Monday;Mon;May;May;2;Q2;2020Q;2020 Q2;20;132;NORMAL;NORMAL
132;5/12/2020;2020;5;202005;2020-May;12;Tuesday;Tue;May;May;2;Q2;2020Q;2020 Q2;20;133;NORMAL;NORMAL
133;5/13/2020;2020;5;202005;2020-May;13;Wednesday;Wed;May;May;2;Q2;2020Q;2020 Q2;20;134;NORMAL;NORMAL
134;5/14/2020;2020;5;202005;2020-May;14;Thursday;Thu;May;May;2;Q2;2020Q;2020 Q2;20;135;NORMAL;NORMAL
135;5/15/2020;2020;5;202005;2020-May;15;Friday;Fri;May;May;2;Q2;2020Q;2020 Q2;20;136;NORMAL;NORMAL
136;5/16/2020;2020;5;202005;2020-May;16;Saturday;Sat;May;May;2;Q2;2020Q;2020 Q2;20;137;NORMAL;NORMAL
137;5/17/2020;2020;5;202005;2020-May;17;Sunday;Sun;May;May;2;Q2;2020Q;2020 Q2;20;138;NORMAL;NORMAL
138;5/18/2020;2020;5;202005;2020-May;18;Monday;Mon;May;May;2;Q2;2020Q;2020 Q2;21;139;NORMAL;NORMAL
139;5/19/2020;2020;5;202005;2020-May;19;Tuesday;Tue;May;May;2;Q2;2020Q;2020 Q2;21;140;NORMAL;NORMAL
140;5/20/2020;2020;5;202005;2020-May;20;Wednesday;Wed;May;May;2;Q2;2020Q;2020 Q2;21;141;NORMAL;NORMAL
141;5/21/2020;2020;5;202005;2020-May;21;Thursday;Thu;May;May;2;Q2;2020Q;2020 Q2;21;142;NORMAL;NORMAL
142;5/22/2020;2020;5;202005;2020-May;22;Friday;Fri;May;May;2;Q2;2020Q;2020 Q2;21;143;NORMAL;NORMAL
143;5/23/2020;2020;5;202005;2020-May;23;Saturday;Sat;May;May;2;Q2;2020Q;2020 Q2;21;144;NORMAL;NORMAL
144;5/24/2020;2020;5;202005;2020-May;24;Sunday;Sun;May;May;2;Q2;2020Q;2020 Q2;21;145;NORMAL;NORMAL
145;5/25/2020;2020;5;202005;2020-May;25;Monday;Mon;May;May;2;Q2;2020Q;2020 Q2;22;146;NORMAL;NORMAL
146;5/26/2020;2020;5;202005;2020-May;26;Tuesday;Tue;May;May;2;Q2;2020Q;2020 Q2;22;147;NORMAL;NORMAL
147;5/27/2020;2020;5;202005;2020-May;27;Wednesday;Wed;May;May;2;Q2;2020Q;2020 Q2;22;148;NORMAL;NORMAL
148;5/28/2020;2020;5;202005;2020-May;28;Thursday;Thu;May;May;2;Q2;2020Q;2020 Q2;22;149;NORMAL;NORMAL
149;5/29/2020;2020;5;202005;2020-May;29;Friday;Fri;May;May;2;Q2;2020Q;2020 Q2;22;150;NORMAL;NORMAL
150;5/30/2020;2020;5;202005;2020-May;30;Saturday;Sat;May;May;2;Q2;2020Q;2020 Q2;22;151;NORMAL;NORMAL
151;5/31/2020;2020;5;202005;2020-May;31;Sunday;Sun;May;May;2;Q2;2020Q;2020 Q2;22;152;NORMAL;NORMAL
152;6/1/2020;2020;6;202006;2020-Jun;1;Monday;Mon;June;Jun;2;Q2;2020Q;2020 Q2;23;153;NORMAL;NORMAL
153;6/2/2020;2020;6;202006;2020-Jun;2;Tuesday;Tue;June;Jun;2;Q2;2020Q;2020 Q2;23;154;NORMAL;NORMAL
154;6/3/2020;2020;6;202006;2020-Jun;3;Wednesday;Wed;June;Jun;2;Q2;2020Q;2020 Q2;23;155;NORMAL;NORMAL
155;6/4/2020;2020;6;202006;2020-Jun;4;Thursday;Thu;June;Jun;2;Q2;2020Q;2020 Q2;23;156;NORMAL;NORMAL
156;6/5/2020;2020;6;202006;2020-Jun;5;Friday;Fri;June;Jun;2;Q2;2020Q;2020 Q2;23;157;NORMAL;NORMAL
157;6/6/2020;2020;6;202006;2020-Jun;6;Saturday;Sat;June;Jun;2;Q2;2020Q;2020 Q2;23;158;NORMAL;NORMAL
158;6/7/2020;2020;6;202006;2020-Jun;7;Sunday;Sun;June;Jun;2;Q2;2020Q;2020 Q2;23;159;NORMAL;NORMAL
159;6/8/2020;2020;6;202006;2020-Jun;8;Monday;Mon;June;Jun;2;Q2;2020Q;2020 Q2;24;160;NORMAL;NORMAL
160;6/9/2020;2020;6;202006;2020-Jun;9;Tuesday;Tue;June;Jun;2;Q2;2020Q;2020 Q2;24;161;NORMAL;NORMAL
161;6/10/2020;2020;6;202006;2020-Jun;10;Wednesday;Wed;June;Jun;2;Q2;2020Q;2020 Q2;24;162;NORMAL;NORMAL
162;6/11/2020;2020;6;202006;2020-Jun;11;Thursday;Thu;June;Jun;2;Q2;2020Q;2020 Q2;24;163;NORMAL;NORMAL
163;6/12/2020;2020;6;202006;2020-Jun;12;Friday;Fri;June;Jun;2;Q2;2020Q;2020 Q2;24;164;NORMAL;NORMAL
164;6/13/2020;2020;6;202006;2020-Jun;13;Saturday;Sat;June;Jun;2;Q2;2020Q;2020 Q2;24;165;NORMAL;NORMAL
165;6/14/2020;2020;6;202006;2020-Jun;14;Sunday;Sun;June;Jun;2;Q2;2020Q;2020 Q2;24;166;NORMAL;NORMAL
166;6/15/2020;2020;6;202006;2020-Jun;15;Monday;Mon;June;Jun;2;Q2;2020Q;2020 Q2;25;167;NORMAL;NORMAL
167;6/16/2020;2020;6;202006;2020-Jun;16;Tuesday;Tue;June;Jun;2;Q2;2020Q;2020 Q2;25;168;NORMAL;NORMAL
168;6/17/2020;2020;6;202006;2020-Jun;17;Wednesday;Wed;June;Jun;2;Q2;2020Q;2020 Q2;25;169;NORMAL;NORMAL
169;6/18/2020;2020;6;202006;2020-Jun;18;Thursday;Thu;June;Jun;2;Q2;2020Q;2020 Q2;25;170;NORMAL;NORMAL
170;6/19/2020;2020;6;202006;2020-Jun;19;Friday;Fri;June;Jun;2;Q2;2020Q;2020 Q2;25;171;NORMAL;NORMAL
171;6/20/2020;2020;6;202006;2020-Jun;20;Saturday;Sat;June;Jun;2;Q2;2020Q;2020 Q2;25;172;NORMAL;NORMAL
172;6/21/2020;2020;6;202006;2020-Jun;21;Sunday;Sun;June;Jun;2;Q2;2020Q;2020 Q2;25;173;NORMAL;NORMAL
173;6/22/2020;2020;6;202006;2020-Jun;22;Monday;Mon;June;Jun;2;Q2;2020Q;2020 Q2;26;174;NORMAL;NORMAL
174;6/23/2020;2020;6;202006;2020-Jun;23;Tuesday;Tue;June;Jun;2;Q2;2020Q;2020 Q2;26;175;NORMAL;NORMAL
175;6/24/2020;2020;6;202006;2020-Jun;24;Wednesday;Wed;June;Jun;2;Q2;2020Q;2020 Q2;26;176;NORMAL;NORMAL
176;6/25/2020;2020;6;202006;2020-Jun;25;Thursday;Thu;June;Jun;2;Q2;2020Q;2020 Q2;26;177;NORMAL;NORMAL
177;6/26/2020;2020;6;202006;2020-Jun;26;Friday;Fri;June;Jun;2;Q2;2020Q;2020 Q2;26;178;NORMAL;NORMAL
178;6/27/2020;2020;6;202006;2020-Jun;27;Saturday;Sat;June;Jun;2;Q2;2020Q;2020 Q2;26;179;NORMAL;NORMAL
179;6/28/2020;2020;6;202006;2020-Jun;28;Sunday;Sun;June;Jun;2;Q2;2020Q;2020 Q2;26;180;NORMAL;NORMAL
180;6/29/2020;2020;6;202006;2020-Jun;29;Monday;Mon;June;Jun;2;Q2;2020Q;2020 Q2;27;181;NORMAL;NORMAL
181;6/30/2020;2020;6;202006;2020-Jun;30;Tuesday;Tue;June;Jun;2;Q2;2020Q;2020 Q2;27;182;NORMAL;NORMAL
182;7/1/2020;2020;7;202007;2020-Jul;1;Wednesday;Wed;July;Jul;3;Q3;2020Q;2020 Q3;27;183;NORMAL;NORMAL
183;7/2/2020;2020;7;202007;2020-Jul;2;Thursday;Thu;July;Jul;3;Q3;2020Q;2020 Q3;27;184;NORMAL;NORMAL
